Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
1,,française,"1841, Samer (Pas-de-Calais, France) - 1901, Le Lavandou (Var, France)",Vase vert strié,Design d'Objet,3,fin XIXe siècle,Acquisition,"hauteur: 20 cm
diamètre: 10 cm",Terre vernissée,1899,1899,Acquisition,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
2,,,,Tabouret,Mobilier,1,4ème quart XIXe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 20,5 cm
diamètre: 22,5 cm","Bois sculpté, attache en métal",1899,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
3,,,,Table basse,Mobilier,1,XIXe siècle,Donation de M. Daniel Cordier en 2010,"21,5 x 114,5 x 48 cm",Bois sculpté,1899,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,http://localhost/Graphique%20Pompidou/Extra/architecture.svg
4,,,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 93,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
5,,,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 94,8 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
6,,,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 102,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
7,,autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Banc n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,97 x 130 x 60 cm,Bois et cannage,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
8,,autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise Bistrot n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,,Bois et cannage,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
9,,autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°14,Mobilier,1,1873,Inscription à l'inventaire en 1993,"hauteur: 91 cm
diamètre: 46 cm",Bois courbé et cannage,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
10,,autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°31,Mobilier,1,avant 1885,Inscription à l'inventaire en 1993,,"Bois courbé, assise décor marguerite",1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
11,,,,Binocle,Design d'Objet,3,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
12,,,,Poêle N°1,Design d'Objet,3,vers 1850,Inscription à l'inventaire en 1993,"hauteur: 43 cm
diamètre: 22,5 cm",Fonte,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
13,,,,Fer à repasser,Design Industriel,4,vers 1810,Inscription à l'inventaire en 1993,18 x 16 x 11 cm,Fonte et bois,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
14,,,,Bouilloire n°2,Design Industriel,4,vers 1840,Inscription à l'inventaire en 1993,"25,5 x 28 cm
diamètre: 18 cm",Fonte,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
